First Name,Last Name,League,Team Name,Team Nickname,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,Position,TPE
Adam,Wilcox,American Hockey League,San Antonio,Rampage,8,1,16,15,13,1,16,15,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,13,13,12,14,14,13,12,14,13,15,Goalie,520
Joey,LaLeggia,American Hockey League,San Antonio,Rampage,8,13,13,14,12,13,10,1,1,15,14,15,14,14,13,6,10,15,14,15,15,7,14,14,9,12,13,7,12,12,1,1,1,1,1,1,1,1,1,1,1,Left Wing,770
Nathan,Walker,American Hockey League,San Antonio,Rampage,10,14,16,14,13,11,14,1,1,14,15,14,14,13,13,8,13,13,13,14,14,7,14,13,11,15,13,7,11,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,744
Ville,Husso,American Hockey League,San Antonio,Rampage,8,1,14,16,13,1,17,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,14,14,13,13,15,12,12,13,Goalie,535
Stephen,Perfetto,American Hockey League,San Antonio,Rampage,6,12,11,12,11,14,12,1,1,14,14,14,15,14,12,6,13,13,13,14,14,6,13,12,12,10,14,7,14,12,1,1,1,1,1,1,1,1,1,1,1,Center,686
Austin,Poganski,American Hockey League,San Antonio,Rampage,6,13,13,14,13,14,14,1,1,12,12,14,13,12,14,6,15,14,12,13,14,7,13,13,10,13,14,8,13,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,652
Dakota,Joshua,American Hockey League,San Antonio,Rampage,10,13,12,13,13,10,12,1,1,13,12,15,13,12,14,9,14,12,12,13,13,5,13,14,13,14,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Center,669
Andreas,Borgman,American Hockey League,San Antonio,Rampage,9,14,13,11,11,12,12,1,1,15,13,13,15,13,15,8,7,12,14,14,8,13,13,14,6,16,14,13,14,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,796
Mitch,Reinke,American Hockey League,San Antonio,Rampage,6,11,14,14,12,15,14,1,1,15,13,12,14,12,12,7,7,14,14,15,8,15,13,13,6,13,14,14,10,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,689
Tanner,Kaspick,American Hockey League,San Antonio,Rampage,8,12,13,11,13,12,13,1,1,12,11,14,14,12,14,8,14,12,13,14,14,5,13,14,10,14,14,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Center,668
Josh,Wesley,American Hockey League,San Antonio,Rampage,8,15,11,15,12,13,12,1,1,12,13,15,14,13,15,8,7,10,13,13,6,14,12,13,7,14,13,13,14,12,1,1,1,1,1,1,1,1,1,1,1,Right Defender,678
Niko,Mikkola,American Hockey League,San Antonio,Rampage,9,15,15,14,13,12,14,1,1,14,13,13,14,14,15,8,9,11,13,13,7,15,12,15,6,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,Left Defender,795
Jordan,Kyrou,American Hockey League,San Antonio,Rampage,6,12,14,14,12,15,14,1,1,16,15,13,16,13,12,6,13,14,14,15,14,6,14,11,12,11,13,7,12,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,763
Erik,Foley,American Hockey League,San Antonio,Rampage,8,12,12,13,12,12,12,1,1,14,14,13,15,13,14,8,14,13,14,12,15,6,15,13,10,14,12,7,12,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,730
Evan,Polei,American Hockey League,San Antonio,Rampage,12,15,14,13,13,8,13,1,1,12,11,14,12,12,15,10,14,12,13,12,14,5,12,14,10,16,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,734
Klim,Kostin,American Hockey League,San Antonio,Rampage,13,15,14,13,12,8,12,1,1,14,13,14,15,14,15,10,14,14,14,15,13,6,14,13,9,15,13,7,13,12,1,1,1,1,1,1,1,1,1,1,1,Right Wing,859
Nolan,Stevens,American Hockey League,San Antonio,Rampage,7,13,14,14,13,14,13,1,1,15,13,14,12,14,13,8,14,14,13,13,14,6,14,12,13,12,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Center,697
Lance,Bouma,American Hockey League,Ontario,Reign,11,16,15,13,14,11,14,1,1,13,12,13,12,11,16,13,15,11,12,12,14,6,11,16,9,16,14,8,12,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,826
Brett,Sutter,American Hockey League,Ontario,Reign,11,15,15,14,14,10,12,1,1,13,12,14,13,11,13,8,15,12,13,13,13,6,13,14,13,13,13,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,703
Ryan,Stanton,American Hockey League,Ontario,Reign,12,15,14,14,13,10,15,1,1,13,13,14,14,12,15,9,8,11,14,13,6,14,12,14,8,15,13,14,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,762
Jacob,Doty,American Hockey League,Ontario,Reign,17,16,14,13,11,6,14,1,1,12,10,14,12,12,16,15,14,10,10,11,12,5,11,14,13,15,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,Center,810
Martin,Frk,American Hockey League,Ontario,Reign,7,14,12,11,12,12,12,1,1,15,13,14,14,12,14,6,13,15,15,16,15,8,15,13,10,15,13,6,13,12,1,1,1,1,1,1,1,1,1,1,1,Right Wing,858
Sheldon,Rempal,American Hockey League,Ontario,Reign,8,16,15,14,12,13,14,1,1,15,14,13,14,14,11,7,12,15,14,15,15,7,14,12,10,12,14,6,11,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,804
Johan,Södergran,American Hockey League,Ontario,Reign,5,11,14,13,11,15,12,1,1,13,12,14,13,13,14,8,15,13,11,13,14,5,13,12,12,11,14,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Center,616
Daniel,Brickley,American Hockey League,Ontario,Reign,9,12,13,15,13,12,12,1,1,14,13,13,14,13,15,7,7,14,14,15,8,16,14,13,7,13,13,12,15,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,772
Matt,Villalta,American Hockey League,Ontario,Reign,9,1,14,14,12,1,14,16,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,13,12,13,14,11,12,12,11,13,Goalie,452
Paul,Ladue,American Hockey League,Ontario,Reign,7,13,14,14,13,14,15,1,1,13,14,14,13,13,14,6,7,12,12,15,9,15,13,15,7,16,16,13,15,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,847
Blaine,Byron,American Hockey League,Ontario,Reign,9,16,13,14,13,15,12,1,1,14,14,14,14,13,11,7,13,12,12,12,13,5,13,12,13,8,14,7,14,12,1,1,1,1,1,1,1,1,1,1,1,Center,663
Nikolai,Prokhorkin,American Hockey League,Ontario,Reign,7,12,14,13,11,14,11,1,1,14,15,14,14,15,15,6,15,14,14,14,15,8,15,12,11,13,13,6,11,12,1,1,1,1,1,1,1,1,1,1,1,Left Wing,814
Tobias,Björnfot,American Hockey League,Ontario,Reign,9,13,13,13,14,14,13,1,1,14,14,16,16,16,13,5,8,12,13,14,8,17,12,13,6,12,14,13,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,856
Bokondji,Imama,American Hockey League,Ontario,Reign,14,15,13,12,13,7,12,1,1,12,12,15,13,12,16,12,16,12,11,12,13,5,11,14,8,17,14,8,15,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,877
Cal,Petersen,American Hockey League,Ontario,Reign,8,1,16,17,13,1,16,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,14,15,13,13,13,15,15,Goalie,551
Mason,Bergh,American Hockey League,Ontario,Reign,11,12,12,14,12,12,13,1,1,14,13,13,14,13,13,8,13,13,14,14,14,5,13,11,10,12,13,7,13,12,1,1,1,1,1,1,1,1,1,1,1,Left Wing,628
Matt,Luff,American Hockey League,Ontario,Reign,7,13,13,14,13,14,14,1,1,14,15,14,15,13,14,12,14,15,14,15,14,7,14,12,8,12,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,818
Carl,Grundström,American Hockey League,Ontario,Reign,7,13,14,13,12,13,12,1,1,14,12,14,14,13,14,6,13,15,14,14,15,6,14,14,10,15,14,6,13,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,808
Kale,Clague,American Hockey League,Ontario,Reign,8,12,12,14,12,13,11,1,1,15,15,12,14,14,12,8,7,13,15,14,7,16,14,12,6,11,13,11,15,14,1,1,1,1,1,1,1,1,1,1,1,Left Defender,759
Gabe,Vilardi,American Hockey League,Ontario,Reign,6,14,14,16,13,16,15,1,1,15,14,16,14,15,15,6,14,15,16,16,15,7,16,13,13,11,14,6,14,14,1,1,1,1,1,1,1,1,1,1,1,Center,1056
Chaz,Reddekopp,American Hockey League,Ontario,Reign,13,13,12,12,12,7,13,1,1,12,12,15,13,12,15,10,8,11,14,14,7,15,13,14,6,15,13,12,15,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,749
Jaret,Anderson-Dolan,American Hockey League,Ontario,Reign,7,12,13,13,14,12,13,1,1,14,14,12,15,14,13,6,12,13,13,14,14,6,13,12,13,11,14,7,12,15,1,1,1,1,1,1,1,1,1,1,1,Center,692
Michael,Anderson,American Hockey League,Ontario,Reign,8,12,13,14,11,13,13,1,1,12,11,13,13,14,13,7,7,12,14,14,7,15,13,12,6,13,13,12,13,14,1,1,1,1,1,1,1,1,1,1,1,Left Defender,605
Austin,Strand,American Hockey League,Ontario,Reign,8,14,12,14,12,13,11,1,1,12,12,14,13,13,15,8,8,14,14,14,9,16,14,11,6,14,12,11,14,13,1,1,1,1,1,1,1,1,1,1,1,Right Defender,728
Sean,Durzi,American Hockey League,Ontario,Reign,6,11,13,15,12,15,13,1,1,14,13,13,13,13,13,6,6,14,15,15,7,15,15,11,6,10,11,11,13,12,1,1,1,1,1,1,1,1,1,1,1,Right Defender,623
Rasmus,Kupari,American Hockey League,Ontario,Reign,8,13,14,14,13,11,13,1,1,14,15,13,15,13,12,6,13,14,15,14,14,6,14,10,13,10,11,6,12,13,1,1,1,1,1,1,1,1,1,1,1,Center,690
Michael,Eyssimont,American Hockey League,Ontario,Reign,9,11,12,12,12,12,12,1,1,13,14,12,14,13,13,7,14,13,14,14,14,6,13,14,14,14,14,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,744
Matt,Bartkowski,American Hockey League,Iowa,Wild,8,13,12,15,13,12,13,1,1,15,15,14,14,14,14,10,8,12,14,14,6,15,14,12,7,15,14,11,15,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,820
Cody,McLeod,American Hockey League,Iowa,Wild,20,15,14,15,14,2,13,1,1,10,11,13,11,11,17,20,16,13,12,10,13,4,10,11,8,19,13,8,11,11,1,1,1,1,1,1,1,1,1,1,1,Left Wing,1190
Gabriel,Dumont,American Hockey League,Iowa,Wild,9,15,15,12,14,10,10,1,1,14,16,13,13,13,13,10,13,13,12,14,13,5,13,15,14,17,13,8,11,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,829
Mike,Liambas,American Hockey League,Iowa,Wild,16,17,16,15,14,3,13,1,1,11,12,15,12,11,17,19,15,11,11,11,12,5,10,13,7,17,12,6,12,11,1,1,1,1,1,1,1,1,1,1,1,Left Wing,985
Patrick,McGrath,American Hockey League,Iowa,Wild,19,16,14,10,11,5,12,1,1,10,12,13,10,11,14,16,14,9,9,10,8,4,9,14,9,15,12,7,11,12,1,1,1,1,1,1,1,1,1,1,1,Right Wing,752
Sam,Anas,American Hockey League,Iowa,Wild,5,11,14,16,13,16,15,1,1,16,15,12,15,14,10,6,10,15,16,15,15,8,15,12,12,10,13,7,11,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,785
Luke,Johnson,American Hockey League,Iowa,Wild,8,13,13,12,13,13,13,1,1,15,14,14,14,12,14,7,12,14,13,13,14,7,13,14,14,13,15,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Center,796
Gerald,Mayhew,American Hockey League,Iowa,Wild,8,15,13,14,14,13,14,1,1,14,15,13,13,15,12,7,13,15,14,15,16,6,14,13,14,13,12,6,12,13,1,1,1,1,1,1,1,1,1,1,1,Center,841
Keaton,Thompson,American Hockey League,Iowa,Wild,8,12,13,14,13,13,14,1,1,14,15,13,14,14,12,7,7,11,13,14,6,15,12,13,7,12,14,14,14,15,1,1,1,1,1,1,1,1,1,1,1,Left Defender,718
J.T.,Brown,American Hockey League,Iowa,Wild,8,16,15,15,14,11,13,1,1,15,15,14,15,12,14,14,12,14,13,13,13,5,11,15,10,16,14,8,13,15,1,1,1,1,1,1,1,1,1,1,1,Right Wing,914
Kyle,Rau,American Hockey League,Iowa,Wild,7,14,15,14,14,14,11,1,1,15,15,13,14,12,12,6,10,15,14,14,16,7,15,14,12,14,11,6,11,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,786
Josh,Atkinson,American Hockey League,Iowa,Wild,14,15,14,12,13,10,13,1,1,10,11,12,11,12,13,8,9,8,12,12,7,14,11,16,5,13,14,13,15,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,635
Nico,Sturm,American Hockey League,Iowa,Wild,8,12,12,14,11,13,13,1,1,13,13,15,13,14,14,7,15,14,14,13,15,6,13,14,13,13,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Center,773
Colton,Beck,American Hockey League,Iowa,Wild,9,14,15,12,14,14,14,1,1,14,14,13,13,12,12,7,12,14,12,13,14,6,13,14,11,12,15,8,14,15,1,1,1,1,1,1,1,1,1,1,1,Left Wing,714
Kaapo,Kähkönen,American Hockey League,Iowa,Wild,8,1,14,16,11,1,14,13,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,13,13,13,13,14,13,14,14,11,14,Goalie,490
Matthew,Register,American Hockey League,Iowa,Wild,11,12,12,12,9,10,10,1,1,11,10,13,12,13,14,9,7,12,15,14,11,16,15,12,6,12,13,12,12,14,1,1,1,1,1,1,1,1,1,1,1,Left Defender,668
Kyle,Bauman,American Hockey League,Iowa,Wild,11,13,12,13,12,12,13,1,1,13,13,13,13,13,13,7,13,13,13,14,13,6,13,12,10,13,14,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,614
Mason,Shaw,American Hockey League,Iowa,Wild,8,12,12,15,12,12,13,1,1,14,14,13,13,14,11,8,11,13,15,15,13,6,13,12,13,12,14,6,11,13,1,1,1,1,1,1,1,1,1,1,1,Center,650
Dmitry,Sokolov,American Hockey League,Iowa,Wild,5,12,12,13,11,16,14,1,1,12,11,13,14,13,14,5,13,14,12,15,15,6,14,14,10,10,12,6,12,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,631
Louis,Belpedio,American Hockey League,Iowa,Wild,8,13,13,13,13,13,13,1,1,15,14,12,14,14,13,8,7,13,14,15,8,15,13,12,7,13,15,14,11,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,754
Will,Bitten,American Hockey League,Iowa,Wild,7,12,12,14,12,14,13,1,1,15,14,11,15,12,11,6,12,14,13,15,14,6,14,14,13,12,14,7,11,14,1,1,1,1,1,1,1,1,1,1,1,Center,713
Hunter,Warner,American Hockey League,Iowa,Wild,13,15,15,15,14,9,15,1,1,10,12,15,13,13,16,10,9,10,12,12,6,14,10,14,7,16,14,13,15,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,785
Mitchell,McLain,American Hockey League,Iowa,Wild,13,13,12,12,12,6,11,1,1,11,10,12,11,11,13,10,14,12,13,14,13,6,12,13,9,14,13,7,11,12,1,1,1,1,1,1,1,1,1,1,1,Left Wing,540
Connor,Dewar,American Hockey League,Iowa,Wild,8,15,13,15,11,13,12,1,1,13,13,12,12,13,12,9,12,14,14,12,14,6,13,11,13,14,12,7,12,12,1,1,1,1,1,1,1,1,1,1,1,Center,615
Turner,Ottenbreit,American Hockey League,Iowa,Wild,13,13,13,11,12,9,13,1,1,11,9,12,11,12,14,9,7,10,12,13,7,15,13,13,5,12,13,12,12,12,1,1,1,1,1,1,1,1,1,1,1,Left Defender,512
Brennan,Menell,American Hockey League,Iowa,Wild,6,11,12,14,12,15,14,1,1,15,15,11,15,14,11,6,7,14,15,16,8,16,15,11,7,10,13,12,11,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,766
Brandon,Duhaime,American Hockey League,Iowa,Wild,13,15,12,14,13,6,14,1,1,12,11,12,12,12,13,13,14,12,14,14,13,6,13,13,10,15,13,7,13,14,1,1,1,1,1,1,1,1,1,1,1,Right Wing,702
Mat,Robson,American Hockey League,Iowa,Wild,8,1,15,16,13,1,16,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,12,13,13,13,14,12,11,12,14,13,Goalie,405
Karl,Alzner,American Hockey League,Laval,Rocket,7,13,12,14,13,14,15,1,1,13,14,15,12,15,16,7,8,11,12,12,5,14,11,15,7,15,15,15,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,794
Dale,Weise,American Hockey League,Laval,Rocket,9,14,13,15,14,12,15,1,1,12,11,15,13,12,16,9,16,13,13,12,14,6,12,15,10,16,13,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Right Wing,823
Keith,Kinkaid,American Hockey League,Laval,Rocket,7,1,14,14,13,1,13,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,15,15,13,14,16,13,16,15,13,14,Goalie,721
Phil,Varone,American Hockey League,Laval,Rocket,7,14,13,15,12,14,15,1,1,15,14,13,13,12,13,6,11,14,15,15,14,6,15,14,14,13,14,8,12,13,1,1,1,1,1,1,1,1,1,1,1,Center,793
Evan,McEneny,American Hockey League,Laval,Rocket,6,12,14,13,12,14,14,1,1,13,13,14,13,13,14,7,7,14,14,14,8,15,14,14,7,13,13,13,15,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,728
Alex,Belzile,American Hockey League,Laval,Rocket,11,16,14,15,13,8,16,1,1,12,12,13,13,11,13,10,14,14,15,15,14,7,14,13,10,13,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,Right Wing,729
Charles,Hudon,American Hockey League,Laval,Rocket,8,14,14,14,13,12,14,1,1,14,14,15,12,13,14,6,12,16,14,15,14,5,14,14,10,16,13,7,12,14,1,1,1,1,1,1,1,1,1,1,1,Left Wing,859
Maxim,Lamarche,American Hockey League,Laval,Rocket,11,13,13,13,13,9,11,1,1,11,10,14,12,12,15,8,7,11,13,14,10,15,13,12,7,13,12,11,13,12,1,1,1,1,1,1,1,1,1,1,1,Right Defender,576
Xavier,Ouellet,American Hockey League,Laval,Rocket,7,13,13,14,14,13,13,1,1,14,15,15,14,13,14,9,7,14,14,15,5,14,12,14,6,14,14,14,13,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,818
Yannick,Veilleux,American Hockey League,Laval,Rocket,13,13,13,13,13,8,12,1,1,13,12,14,13,11,14,9,14,11,11,12,13,6,12,14,7,13,12,8,14,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,600
Ryan,Poehling,American Hockey League,Laval,Rocket,7,13,14,15,11,15,12,1,1,15,13,15,14,12,14,6,15,13,14,13,14,6,14,14,14,11,14,7,12,12,1,1,1,1,1,1,1,1,1,1,1,Center,768
Andrew,Sturtz,American Hockey League,Laval,Rocket,11,14,12,15,12,9,14,1,1,15,13,13,13,13,13,7,11,14,13,14,14,6,12,13,10,14,15,8,11,15,1,1,1,1,1,1,1,1,1,1,1,Right Wing,719
Matthew,Peca,American Hockey League,Laval,Rocket,5,14,13,15,12,16,13,1,1,16,14,13,16,13,12,6,11,13,15,14,14,6,13,14,15,13,14,8,12,12,1,1,1,1,1,1,1,1,1,1,1,Center,818
Christian,Folin,American Hockey League,Laval,Rocket,8,13,14,14,12,13,13,1,1,13,12,15,13,14,15,9,9,10,14,13,5,15,11,15,6,18,14,16,15,15,1,1,1,1,1,1,1,1,1,1,1,Right Defender,932
Riley,Barber,American Hockey League,Laval,Rocket,10,14,15,12,14,9,13,1,1,13,13,14,15,12,13,8,13,15,14,15,16,7,14,11,10,12,13,7,13,14,1,1,1,1,1,1,1,1,1,1,1,Right Wing,778
Joe,Cox,American Hockey League,Laval,Rocket,10,13,14,12,13,11,14,1,1,14,13,14,13,15,13,7,12,13,13,14,13,5,15,12,10,12,14,7,12,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,674
Charlie,Lindgren,American Hockey League,Laval,Rocket,8,1,13,14,11,1,14,13,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,12,14,12,15,15,14,14,13,13,14,Goalie,550
Gustav,Olofsson,American Hockey League,Laval,Rocket,7,12,15,15,12,15,14,1,1,14,15,13,14,15,13,6,8,11,14,14,6,15,12,14,7,12,14,14,13,14,1,1,1,1,1,1,1,1,1,1,1,Left Defender,740
Ralph,Cuddemi,American Hockey League,Laval,Rocket,10,13,14,14,13,12,14,1,1,14,13,13,14,15,13,7,14,15,13,14,15,6,13,12,10,12,13,6,12,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,712
William,Pelletier,American Hockey League,Laval,Rocket,6,11,13,14,12,15,13,1,1,14,14,12,14,12,9,6,13,14,14,14,15,6,15,11,10,10,14,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,646
Nikita,Jevpalovs,American Hockey League,Laval,Rocket,8,13,14,14,13,12,11,1,1,14,13,14,13,11,14,6,14,13,12,14,14,6,14,13,11,13,12,9,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,661
Kevin,Lynch,American Hockey League,Laval,Rocket,8,14,13,14,10,13,12,1,1,12,13,13,12,13,13,6,14,13,12,12,14,6,13,13,14,14,14,7,14,15,1,1,1,1,1,1,1,1,1,1,1,Center,703
Laurent,Dauphin,American Hockey League,Laval,Rocket,9,13,14,12,11,11,12,1,1,15,12,12,17,12,13,9,14,14,14,13,15,6,13,14,13,15,12,7,12,13,1,1,1,1,1,1,1,1,1,1,1,Center,797
Alexandre,Alain,American Hockey League,Laval,Rocket,8,12,13,14,14,12,13,1,1,14,14,13,13,13,12,7,13,13,14,14,14,6,14,12,11,12,13,6,13,13,1,1,1,1,1,1,1,1,1,1,1,Center,642
Phélix,Martineau,American Hockey League,Laval,Rocket,10,10,13,11,14,12,13,1,1,12,12,12,12,12,12,9,12,13,12,13,13,5,13,10,13,13,11,8,11,11,1,1,1,1,1,1,1,1,1,1,1,Center,459
Hayden,Verbeek,American Hockey League,Laval,Rocket,7,13,15,12,13,15,12,1,1,15,14,12,14,12,12,6,11,12,12,13,14,5,12,15,13,13,14,7,12,13,1,1,1,1,1,1,1,1,1,1,1,Center,645
Antoine,Waked,American Hockey League,Laval,Rocket,8,13,12,14,11,12,13,1,1,15,13,13,12,12,12,7,14,12,13,14,14,5,12,13,9,14,14,7,14,15,1,1,1,1,1,1,1,1,1,1,1,Right Wing,684
Otto,Leskinen,American Hockey League,Laval,Rocket,8,12,14,14,13,12,13,1,1,14,14,12,14,14,12,7,7,14,14,14,8,15,13,13,7,13,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,Left Defender,745
Noah,Juulsen,American Hockey League,Laval,Rocket,6,14,15,14,14,15,14,1,1,15,14,13,15,14,13,6,8,11,13,14,6,15,11,13,6,17,15,15,12,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,833
Cale,Fleury,American Hockey League,Laval,Rocket,7,14,15,16,14,14,15,1,1,14,15,15,15,15,14,7,8,11,14,14,7,15,12,13,6,12,13,13,13,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,779
Jake,Evans,American Hockey League,Laval,Rocket,7,13,13,14,13,14,13,1,1,13,14,13,13,13,13,7,12,14,15,14,14,6,14,13,13,14,11,7,13,12,1,1,1,1,1,1,1,1,1,1,1,Center,687
Michael,Pezzetta,American Hockey League,Laval,Rocket,13,13,12,13,14,7,12,1,1,12,12,14,12,12,15,10,15,12,12,12,14,5,13,14,12,16,12,7,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Wing,725
Cayden,Primeau,American Hockey League,Laval,Rocket,8,1,13,13,11,1,14,13,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,11,14,14,13,14,12,12,12,13,13,Goalie,436
Lukas,Vejdemo,American Hockey League,Laval,Rocket,6,13,13,14,12,15,11,1,1,15,15,13,14,13,13,7,12,13,13,14,14,6,13,13,14,12,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,Center,717
Josh,Brook,American Hockey League,Laval,Rocket,9,13,12,14,11,9,13,1,1,13,15,14,14,13,12,8,6,14,15,15,9,14,13,12,6,12,14,11,13,12,1,1,1,1,1,1,1,1,1,1,1,Right Defender,695
Joël,Teasdale,American Hockey League,Laval,Rocket,7,13,12,15,13,14,14,1,1,13,12,14,12,12,14,6,13,14,13,13,15,6,15,13,11,11,12,6,12,12,1,1,1,1,1,1,1,1,1,1,1,Left Wing,622
Jesperi,Kotkaniemi,American Hockey League,Laval,Rocket,7,14,14,16,12,14,14,1,1,16,15,15,14,15,13,6,14,15,15,15,15,6,15,15,12,13,15,7,14,15,1,1,1,1,1,1,1,1,1,1,1,Center,1035
Steve,Bernier,American Hockey League,Bridgeport,Sound Tigers,8,16,14,15,12,13,15,1,1,12,11,13,12,11,16,8,15,13,12,13,14,6,13,14,10,14,15,8,14,15,1,1,1,1,1,1,1,1,1,1,1,Right Wing,788
Andrew,Ladd,American Hockey League,Bridgeport,Sound Tigers,8,15,15,16,16,14,14,1,1,12,13,15,12,14,16,6,17,13,14,15,15,6,14,14,10,13,14,7,14,15,1,1,1,1,1,1,1,1,1,1,1,Left Wing,938
Colin,McDonald,American Hockey League,Bridgeport,Sound Tigers,8,13,15,13,15,12,14,1,1,12,11,13,13,12,15,8,15,13,13,13,13,6,11,13,12,12,13,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Right Wing,629
Ryan,Bourque,American Hockey League,Bridgeport,Sound Tigers,7,12,14,13,14,13,12,1,1,15,14,12,15,12,11,6,12,13,12,14,13,6,13,13,13,12,14,7,13,15,1,1,1,1,1,1,1,1,1,1,1,Left Wing,669
Thomas,Hickey,American Hockey League,Bridgeport,Sound Tigers,8,14,14,13,13,13,14,1,1,15,14,14,14,14,13,7,8,10,14,15,6,15,13,14,7,13,14,15,15,15,1,1,1,1,1,1,1,1,1,1,1,Left Defender,852
Tom,Kühnhackl,American Hockey League,Bridgeport,Sound Tigers,6,15,15,16,13,15,15,1,1,14,14,15,14,13,14,6,15,12,14,14,13,6,12,15,8,15,14,9,16,15,1,1,1,1,1,1,1,1,1,1,1,Right Wing,897
Kyle,Burroughs,American Hockey League,Bridgeport,Sound Tigers,14,14,12,13,13,7,13,1,1,13,12,15,13,12,15,13,8,14,14,13,7,15,13,14,6,16,12,13,13,14,1,1,1,1,1,1,1,1,1,1,1,Right Defender,842
Chris,Gibson,American Hockey League,Bridgeport,Sound Tigers,8,1,16,16,13,1,16,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,14,14,14,12,14,15,12,14,13,Goalie,550
Cole,Bardreau,American Hockey League,Bridgeport,Sound Tigers,12,14,15,15,13,10,14,1,1,15,15,14,13,14,14,8,12,12,13,13,14,6,13,15,13,14,15,7,14,14,1,1,1,1,1,1,1,1,1,1,1,Center,847
